1000 games per player count
min,max,avg
players =  5
0.11,0.24,0.16
players =  6
0.12,0.28,0.218
players =  7
0.16,0.28,0.22
players =  8
0.1,0.15,0.123
players =  9
0.14,0.24,0.19
players =  10
0.09,0.15,0.119
